rule_name,atlas_technique_id,atlas_technique_name,atlas_tactic_id
Prompt Injection,AML.T0051,LLM Prompt Injection,AML.TA0000
Jailbreak,AML.T0054,LLM Jailbreak,AML.TA0000
Sensitive Information Disclosure,AML.T0057,LLM Data Leakage,AML.TA0011
